,country,date,accumulated_recovered,increase_of_recovered
410,Belarus,2020-03-06,0,0.0
411,Belarus,2020-03-07,0,0.0
412,Belarus,2020-03-08,0,0.0
413,Belarus,2020-03-09,1,1.0
414,Belarus,2020-03-10,3,2.0
415,Belarus,2020-03-11,3,0.0
416,Belarus,2020-03-12,3,0.0
417,Belarus,2020-03-13,3,0.0
418,Belarus,2020-03-14,3,0.0
419,Belarus,2020-03-15,3,0.0
420,Belarus,2020-03-16,3,0.0
421,Belarus,2020-03-17,3,0.0
422,Belarus,2020-03-18,5,2.0
423,Belarus,2020-03-19,5,0.0
424,Belarus,2020-03-20,5,0.0
425,Belarus,2020-03-21,15,10.0
426,Belarus,2020-03-22,15,0.0
427,Belarus,2020-03-23,15,0.0
428,Belarus,2020-03-24,22,7.0
429,Belarus,2020-03-25,29,7.0
430,Belarus,2020-03-26,29,0.0
431,Belarus,2020-03-27,32,3.0
432,Belgium,2020-03-01,1,0.0
433,Belgium,2020-03-02,1,0.0
434,Belgium,2020-03-03,1,0.0
435,Belgium,2020-03-04,1,0.0
436,Belgium,2020-03-05,1,0.0
437,Belgium,2020-03-06,1,0.0
438,Belgium,2020-03-07,1,0.0
439,Belgium,2020-03-08,1,0.0
440,Belgium,2020-03-09,1,0.0
441,Belgium,2020-03-10,1,0.0
442,Belgium,2020-03-11,1,0.0
443,Belgium,2020-03-12,1,0.0
444,Belgium,2020-03-13,1,0.0
445,Belgium,2020-03-14,1,0.0
446,Belgium,2020-03-15,1,0.0
447,Belgium,2020-03-16,1,0.0
448,Belgium,2020-03-17,1,0.0
449,Belgium,2020-03-18,31,30.0
450,Belgium,2020-03-19,31,0.0
451,Belgium,2020-03-20,1,-30.0
452,Belgium,2020-03-21,263,262.0
453,Belgium,2020-03-22,263,0.0
454,Belgium,2020-03-23,263,0.0
455,Belgium,2020-03-24,461,198.0
456,Belgium,2020-03-25,547,86.0
457,Belgium,2020-03-26,675,128.0
458,Belgium,2020-03-27,858,183.0
459,Belize,2020-03-01,0,0.0
460,Belize,2020-03-02,0,0.0
461,Belize,2020-03-03,0,0.0
462,Belize,2020-03-04,0,0.0
463,Belize,2020-03-05,0,0.0
